Municipio,PIB_Per_Capita,Salario_Medio,Comprometimento_Renda,Custo_Cesta
Acari,12785.32,1.4,7.85,165.83
Açu,24982.91,1.8,6.11,165.83
Afonso Bezerra,12542.16,1.7,6.46,165.83
Alexandria,11145.72,1.4,7.85,165.83
Alto do Rodrigues,41300.47,2.1,5.23,165.83
Caicó,20295.8,1.7,8.46,165.83
Currais Novos,17863.07,1.7,6.46,165.83
Guamaré,125585.4,3.0,3.66,165.83
Mossoró,26570.03,2.2,5.0,165.83
Natal,26972.28,3.0,3.66,165.83
Parnamirim,25121.67,1.7,6.46,165.83
Pau dos Ferros,23028.8,1.7,6.46,165.83
Santa Cruz,15382.76,1.7,6.46,165.83
São Gonçalo do Amarante,18157.09,1.8,6.11,165.83
São José de Mipibu,23357.8,1.7,6.46,165.83
Tangará,12505.26,1.9,5.78,165.83
Touros,24167.89,1.9,5.78,165.83
